NAME,GENERIC_NAME,NAME_TYPE,FULL_GENERIC_NAME,FDA_SCHEDULE,VA_CLASS,VA_CATEGORY,CATEGORY
FOOLISH POWDER,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,,,PAINKILLER
GALLOPING HORSE,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,,,PAINKILLER
GAMOT,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,,,PAINKILLER
CANNABICYCLOHEXANOL,CANNABICYCLOHEXANOL,GENERIC_NAME,CANNABICYCLOHEXANOL,SCHEDULE I,,,DRUG
GATO,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,,,PAINKILLER
PENTEDRONE,PENTEDRONE,GENERIC_NAME,PENTEDRONE,SCHEDULE I,,,STIMULANT
GEORGE SMACK,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,,,PAINKILLER
GIRL,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,,,PAINKILLER
GLOBO,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,,,PAINKILLER
GOAT,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,,,PAINKILLER
GOLDEN GIRL,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,,,PAINKILLER
GOOD AND PLENTY,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,,,PAINKILLER
GOOD H,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,,,PAINKILLER
GOOFBALL,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,,,PAINKILLER
3-MONOACETYLMORPHINE,3-MONOACETYLMORPHINE,GENERIC_NAME,3-MONOACETYLMORPHINE,SCHEDULE I,,,
GOMA,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,,,PAINKILLER
GORDA,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,,,PAINKILLER
GRAS,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,,,PAINKILLER
GRASIN,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,,,PAINKILLER
GRAVY,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,,,PAINKILLER
UR-144,UR-144,GENERIC_NAME,UR-144,SCHEDULE I,,,DRUG
