id,name,name_type,full_generic_name,category,fda_schedule
423,chicken powder,street_name,amphetamine,amphetamines,schedule ii
424,chochos,street_name,amphetamine,amphetamines,schedule ii
425,chocolates,street_name,amphetamine,amphetamines,schedule ii
426,pb-22,generic_name,pb-22,amphetamines,schedule i
427,christina,street_name,amphetamine,amphetamines,schedule ii
428,chunk,street_name,amphetamine,amphetamines,schedule ii
429,co-pilot,street_name,amphetamine,amphetamines,schedule ii
430,coast-to-coasts,street_name,amphetamine,amphetamines,schedule ii
431,crisscross,street_name,amphetamine,amphetamines,schedule ii
432,cross roads,street_name,amphetamine,amphetamines,schedule ii
433,cross tops,street_name,amphetamine,amphetamines,schedule ii
434,crosses,street_name,amphetamine,amphetamines,schedule ii
435,ab-chminaca,generic_name,ab-chminaca,amphetamines,schedule i
436,debs,street_name,amphetamine,amphetamines,schedule ii
437,adb-pinaca,generic_name,adb-pinaca,amphetamines,schedule i
438,dexies,street_name,amphetamine,amphetamines,schedule ii
439,diablos,street_name,amphetamine,amphetamines,schedule ii
440,diamonds,street_name,amphetamine,amphetamines,schedule ii
441,diet pills,street_name,amphetamine,amphetamines,schedule ii
442,dolls,street_name,amphetamine,amphetamines,schedule ii
443,dominoes,street_name,amphetamine,amphetamines,schedule ii
444,double cross,street_name,amphetamine,amphetamines,schedule ii
445,dulces,street_name,amphetamine,amphetamines,schedule ii
446,thj-2201,generic_name,thj-2201,amphetamines,schedule i
447,fives,street_name,amphetamine,amphetamines,schedule ii
448,flour,street_name,amphetamine,amphetamines,schedule ii
449,footballs,street_name,amphetamine,amphetamines,schedule ii
450,mmda (drug),generic_name,mmda (drug),amphetamines,schedule i
451,french blues,street_name,amphetamine,amphetamines,schedule ii
452,ohmefentanyl,generic_name,ohmefentanyl,amphetamines,schedule i
453,geeked up,street_name,amphetamine,amphetamines,schedule ii
454,goofballs,street_name,amphetamine,amphetamines,schedule ii
455,greenies,street_name,amphetamine,amphetamines,schedule ii
456,head drugs,street_name,amphetamine,amphetamines,schedule ii
457,horse heads,street_name,amphetamine,amphetamines,schedule ii
458,in-betweens,street_name,amphetamine,amphetamines,schedule ii
459,jelly babies,street_name,amphetamine,amphetamines,schedule ii
460,jelly beans,street_name,amphetamine,amphetamines,schedule ii
461,jolly beans,street_name,amphetamine,amphetamines,schedule ii
462,jugs,street_name,amphetamine,amphetamines,schedule ii
463,la turnaround,street_name,amphetamine,amphetamines,schedule ii
464,6-monoacetylmorphine,generic_name,6-monoacetylmorphine,amphetamines,schedule i
465,leapers,street_name,amphetamine,amphetamines,schedule ii
466,lid poppers,street_name,amphetamine,amphetamines,schedule ii
467,anileridine,generic_name,anileridine,amphetamines,schedule ii
468,lightening,street_name,amphetamine,amphetamines,schedule ii
469,little bombs,street_name,amphetamine,amphetamines,schedule ii
470,marathons,street_name,amphetamine,amphetamines,schedule ii
471,mini beans,street_name,amphetamine,amphetamines,schedule ii
472,mini bennies,street_name,amphetamine,amphetamines,schedule ii
473,morning shot,street_name,amphetamine,amphetamines,schedule ii
474,nuggets,street_name,amphetamine,amphetamines,schedule ii
475,oranges,street_name,amphetamine,amphetamines,schedule ii
476,pastas,street_name,amphetamine,amphetamines,schedule ii
477,ethylestrenol,generic_name,ethylestrenol,amphetamines,schedule iii
478,pastillas,street_name,amphetamine,amphetamines,schedule ii
479,peaches,street_name,amphetamine,amphetamines,schedule ii
480,pep pills,street_name,amphetamine,amphetamines,schedule ii
481,pepper,street_name,amphetamine,amphetamines,schedule ii
482,levorphanol,generic_name,levorphanol,amphetamines,schedule ii
483,pingas,street_name,amphetamine,amphetamines,schedule ii
484,pink hearts,street_name,amphetamine,amphetamines,schedule ii
485,pixies,street_name,amphetamine,amphetamines,schedule ii
